# list of object assets to load in this scene
[ASSETS]
Resources\Data\Entities\mario.txt
Resources\Data\Entities\solid_platform.txt
Resources\Data\Entities\question_block.txt
Resources\Data\Entities\effects.txt
Resources\Data\Entities\background-1-1.txt

#coin.txt
#cloud.txt
#brick.txt

[PROPERTIES]
#type:
#	1 = map length
#	2 = map height
#type	value
1	2816
2	0

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 
#new type: 
#	0 = Mario
#	10 = Solid Platform
#	20 = Empty Question Block
#	30 = Background
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	100

#SOLID PLATFORM
10	0	192	16	16	39	2	20011	20012	20013	20014	20015	20016	20017	20018	20019

10	624	176	16	16	29	3	20011	20012	20013	20014	20015	20016	20017	20018	20019

10	1152	192	16	16	22	2	20011	20012	20013	20014	20015	20016	20017	20018	20019

10	1536	192	16	16	5	2	20011	20012	20013	20014	20015	20016	20017	20018	20019

10	1664	192	16	16	36	2	20011	20012	20013	20014	20015	20016	20017	20018	20019

10	2256	192	16	16	35	2	20011	20012	20013	20014	20015	20016	20017	20018	20019

#QUESTION BLOCK
21	120	100

#BACKGROUND
#type	x	y	Id	cWidth	cHeight	width	height

#BIG BUSH
30	16	160	40013	16	16	1	2
30	16	144	40011	16	16	1	1
30	32	144	40017	16	16	1	1
30	32	160	40016	16	16	1	1
30	48	160	40017	16	16	1	1
30	32	176	40015	16	16	3	1
30	32	128	40011	16	16	1	1
30	48	128	40012	16	16	1	1
30	48	144	40014	16	16	1	1
30	64	160	40015	16	16	1	1
30	64	144	40011	16	16	1	1
30	80	144	40012	16	16	1	1
30	80	160	40014	16	16	1	1
30	80	176	40016	16	16	1	1
30	96	176	40017	16	16	1	1
30	112	176	40015	16	16	1	1
30	96	160	40013	16	16	1	1
30	96	144	40011	16	16	1	1
30	112	144	40012	16	16	1	1
30	112	160	40016	16	16	1	1
30	128	160	40012	16	16	1	1
30	128	176	40014	16	16	1	1

30	816	160	40011	16	16	1	1
30	832	160	40017	16	16	1	1
30	848	160	40015	16	16	5	1
30	928	144	40014	16	16	1	2
30	912	144	40015	16	16	1	1
30	832	144	40013	16	16	1	1
30	848	144	40016	16	16	1	1
30	864	144	40017	16	16	1	1
30	880	144	40016	16	16	1	1
30	896	144	40017	16	16	1	1
30	832	128	40011	16	16	1	1
30	848	128	40012	16	16	1	1
30	864	128	40011	16	16	1	1
30	880	128	40017	16	16	1	1
30	896	128	40014	16	16	1	1
30	912	128	40011	16	16	1	1
30	928	128	40012	16	16	1	1
30	880	112	40011	16	16	1	1
30	896	112	40012	16	16	1	1
30	944	160	40011	16	16	1	1
30	960	160	40017	16	16	1	1
30	976	160	40015	16	16	1	1
30	992	160	40014	16	16	1	1
30	960	144	40013	16	16	1	1
30	976	144	40016	16	16	1	1
30	992	144	40012	16	16	1	1
30	960	128	40011	16	16	1	1
30	976	128	40012	16	16	1	1

30	1888	176	40011	16	16	1	1
30	1904	176	40017	16	16	1	1
30	1920	176	40015	16	16	1	1
30	1936	176	40014	16	16	1	1
30	1904	160	40013	16	16	1	1
30	1920	160	40016	16	16	1	1
30	1936	160	40012	16	16	1	1
30	1904	144	40011	16	16	1	1
30	1920	144	40012	16	16	1	1

30	2368	144	40013	16	16	1	3
30	2384	144	40015	16	16	3	3
30	2432	176	40015	16	16	1	1
30	2448	176	40014	16	16	1	1
30	2432	160	40016	16	16	1	1
30	2448	160	40012	16	16	1	1
30	2368	128	40011	16	16	1	1
30	2384	128	40017	16	16	1	1
30	2400	128	40015	16	16	1	1
30	2416	96	40015	16	16	1	3
30	2432	96	40014	16	16	1	4
30	2385	112	40011	16	16	1	1
30	2400	112	40017	16	16	1	1
30	2400	80	40013	16	16	1	2
30	2416	80	40016	16	16	1	1
30	2432	80	40012	16	16	1	1
30	2400	64	40011	16	16	1	1
30	2416	64	40012	16	16	1	1

#BLACK AREA
30	2479	-224	40032	16	16	1	26
30	2495	-224	40031	16	16	21	26

#BLACK BIG BUSH
30	2576	176	40051	16	16	1	1
30	2592	176	40052	16	16	1	1
30	2640	176	40054	16	16	1	1
30	2592	112	40053	16	16	1	4
30	2624	160	40051	16	16	1	1
30	2640	160	40052	16	16	1	1
30	2624	144	40054 	16	16	1	1
30	2608	128	40051	16	16	1	1
30	2624	128	40052	16	16	1	1
30	2608	112	40054	16	16	1	1
30	2592	96	40051	16	16	1	1
30	2608	96	40052	16	16	1	1

30	2752	176	40051	16	16	1	1
30	2768	176	40052	16	16	1	1
30	2783	176	40054	16	16	1	1
30	2768	160	40053	16	16	1	1
30	2783	160	40054	16	16	1	1
30	2768	144	40051	16	16	1	1
30	2783	144	40052	16	16	1	1

#SMALL BUSH
30	160	176	40021	16	16	3	1
30	672	160	40021	16	16	6	1
30	1040	160	40021	16	16	2	1
30	1184	176	40021	16	16	3	1
30	1728	176	40021	16	16	3	1

#CLOUD
30	112	48	40041	16	16	1	1
30	128	48	40042	16	16	1	1
30	144	48	40042	16	16	1	1
30	160	48	40043	16	16	1	1
30	112	64	40044	16	16	1	1
30	128	64	40045	16	16	1	1
30	144	64	40045	16	16	1	1
30	160	64	40046	16	16	1	1

30	320	32	40041	16	16	1	1
30	336	32	40042	16	16	1	1
30	352	32	40043	16	16	1	1
30	320	48	40044	16	16	1	1
30	336	48	40045	16	16	1	1
30	352	48	40046	16	16	1	1

30	640	48	40041	16	16	1	1
30	656	48	40042	16	16	1	1
30	672	48	40043	16	16	1	1
30	640	64	40044	16	16	1	1
30	656	64	40045	16	16	1	1
30	672	64	40046	16	16	1	1

30	720	80	40041	16	16	1	1
30	736	80	40042	16	16	1	1
30	752	80	40042	16	16	1	1
30	768	80	40042	16	16	1	1
30	784	80	40043	16	16	1	1
30	720	96	40044	16	16	1	1
30	736	96	40045	16	16	1	1
30	752	96	40045	16	16	1	1
30	768	96	40045	16	16	1	1
30	784	96	40046	16	16	1	1

30	1168	48	40041	16	16	1	1
30	1184	48	40042	16	16	1	1
30	1200	48	40043	16	16	1	1
30	1168	64	40044	16	16	1	1
30	1184	64	40045	16	16	1	1
30	1200	64	40046	16	16	1	1

30	1648	48	40041	16	16	1	1
30	1664	48	40042	16	16	1	1
30	1680	48	40042	16	16	1	1
30	1696	48	40042	16	16	1	1
30	1712	48	40043	16	16	1	1
30	1648	64	40044	16	16	1	1
30	1664	64	40045	16	16	1	1
30	1680	64	40045	16	16	1	1
30	1696	64	40045	16	16	1	1
30	1712	64	40046	16	16	1	1

30	2320	64	40041	16	16	1	1
30	2336	64	40042	16	16	1	1
30	2352	64	40043	16	16	1	1
30	2320	80	40044	16	16	1	1
30	2336	80	40045	16	16	1	1
30	2352	80	40046	16	16	1	1

#SHAPED CLOUD

#CARD FRAME
30	2683	107	40071	26	26	1	1

#COIN
#4	100	120
#4	120	120
#4	140	120
#4	160	120
#4	180	120


#4	100	100
#4	120	100
#4	140	100
#4	160	100
#4	180	100

#4	100	80
#4	120	80
#4	140	80
#4	160	80
#4	180	80




#Platform
#5 	100	180	16	15	32	51000	52000	53000
#5	140	140	16	15	26	51000	52000	53000

#Portal 
#50	200	160	216	180	1

